Episode Name,Characters,Dialogue
Confrontation,,Ryuk laughs and looks at Light.
Confrontation,Ryuk,He got you there.
Confrontation,,The scene changes between L's symbol and the hidden face of a man speaking into a microphone.
Confrontation,L,"But I assure you, L is real. I do exist. Now…try to kill me!"
Confrontation,,Scene change to Light's room.
Confrontation,Light,You…you bastard!
Confrontation,,Scene change to Japan National Police Agency headquarters. L still challenging Kira.
Confrontation,L,"What's wrong? Go ahead! Come on, right now! Kill me!"
Confrontation,Officer 1,What the hell is going on? L is taking this too far.
Confrontation,Officer 2,"Are you trying to kill yourself, L?!"
Confrontation,,"Scene change to the city center. People have gathered around large screen, listening to L's challenge."
Confrontation,Bystander 1,What's going on?
Confrontation,Bystander 2,"Look, it's Kira versus L!"
Confrontation,Bystander 3,Huh? What?
Confrontation,,The crowd begins to murmur.
Confrontation,Bystander 4,This is freaky.
Confrontation,Bystander 5,Amazing.
Confrontation,Bystander 6,"Do it, Kira!"
Confrontation,Bystander 7,"Someone, stop this!"
Confrontation,Bystander 8,What's the matter?!
Confrontation,,Scene change to Light's room.
Confrontation,L,Can't you do it?
Confrontation,,Light stares at the TV incredulously.
Confrontation,L,"Well Kira, it seems you can't kill me after all."
Confrontation,,"Ryuk laughs once again. Scene change to the man with the microphone, L."
Confrontation,L,So there are some people you can't kill. You've given me a useful hint.
Confrontation,,Scene change to Light's room.
Confrontation,L,"Let me return the favor. I'll tell you something that I think you'll find interesting. Although this was announced as a worldwide broadcast, the truth is, we are only broadcasting in the Kanto region of Japan. I had planned to broadcast this message around the world until we found you, but it looks like that won't be necessary. I know now where you are."
Confrontation,Ryuk,[Laughs] This L guy is pretty good.
Confrontation,L,"The police treated your first killing as an unrelated incident, but in actuality, the first of your victims was a suspect in Shinjuku."
Confrontation,,Flashback to the scene of the incident.
Confrontation,L,"Of all the criminals that recently died of heart attacks, this one's crime was, by far, the least serious. Furthermore, his crime was only ever reported inside Japan."
Confrontation,,Present day. Scene change to L's location.
Confrontation,L,"I used that information to deduce this much. You are in Japan and your first victim was little more than an experiment, which means you haven't been killing for very long."
Confrontation,,Light gasps. Scene change to the city center.
Confrontation,L,"We decided to broadcast in Kanto first because of its large population, and, luckily, we found you."
Confrontation,,Scene change to Japan National Police Agency headquarters.
Confrontation,L,"To be completely honest with you, I never expected that things would go this well, but…it won't be too long now before I am able to sentence you to death."
Confrontation,Matsuda,L has…certainly lived up to his reputation.
Confrontation,Soichiro,"Mmhmm. He proved that Kira exists, that the deaths were murders, and that he is here in Japan."
Confrontation,,Scene change to Light's room.
Confrontation,L,"Naturally, I am very interested to know how you're able to commit these murders without being present…but I don't mind waiting a little bit longer. [Scene change to L's location.] You can answer all of my questions when I catch you… Let's meet again soon, Kira."
Confrontation,,"Scene change to Light's room. The broadcast cuts out and leaves the screen snowy, a fuzzy sound filling the quiet room."
Confrontation,Light,"Really? He's gonna sentence me to death? Sounds interesting. I accept your challenge, L."
Confrontation,Ryuk,[Thinking] Each of them has to hunt down the other without knowing the other's name or face. And the first one whose identity is revealed will die. Humans are so much fun.
Confrontation,,The scene constantly changes between Light's room and L's location.
Confrontation,Light,L…
Confrontation,L,Kira…
Confrontation,,Split screen.
Confrontation,Both Light and L,I will hunt you down wherever you're hiding and I will eliminate you!
Confrontation,Light,I am…
Confrontation,L,I am…
Confrontation,Both,Justice!
Confrontation,Light,"I'm not the one who's going to find L. I can let the police do that for me. And when they do, that's when I'll eliminate him! Looks like I may be able to provide you with more entertainment, Ryuk."
